"qseqid" "sseqid" "%_ident" "query_len" "alignment_length" "evalue" "bitscore" "query_cover"
"9230" "AKF16157.1" "AP002527.1" 100 381 378 0 699 99.2125984251969
"9367" "EFK88498.1" "NZ_JXMX01000008.1" 100 384 370 0 684 96.3541666666667
"9368" "EFK88498.1" "NZ_JMSX01000003.1" 100 384 370 0 684 96.3541666666667
"9369" "EFK88498.1" "NZ_CP018124.1" 100 384 370 0 684 96.3541666666667
"9370" "EFK88498.1" "NZ_CP018118.1" 100 384 370 0 684 96.3541666666667
"9371" "EFK88498.1" "NZ_CP018112.1" 100 384 370 0 684 96.3541666666667
"9372" "EFK88498.1" "NZ_CP018106.1" 100 384 370 0 684 96.3541666666667
"9373" "EFK88498.1" "NZ_CP016547.1" 100 384 370 0 684 96.3541666666667
"9374" "EFK88498.1" "NZ_CP016405.1" 100 384 370 0 684 96.3541666666667
"9375" "EFK88498.1" "NZ_CP016388.1" 100 384 370 0 684 96.3541666666667
"9376" "EFK88498.1" "NZ_CP011978.1" 100 384 370 0 684 96.3541666666667
"9377" "EFK88498.1" "NZ_CP011645.1" 100 384 370 0 684 96.3541666666667
"9378" "EFK88498.1" "NZ_CP007134.1" 100 384 370 0 684 96.3541666666667
"9379" "EFK88498.1" "NZ_CP006264.1" 100 384 370 0 684 96.3541666666667
"9380" "EFK88498.1" "NC_022520.1" 100 384 370 0 684 96.3541666666667
"9381" "EFK88498.1" "NC_020270.1" 100 384 370 0 684 96.3541666666667
"9382" "EFK88498.1" "NC_019115.1" 100 384 370 0 684 96.3541666666667
"9383" "EFK88498.1" "NC_019039.1" 100 384 370 0 684 96.3541666666667
"9384" "EFK88498.1" "LT174530.1" 100 384 370 0 684 96.3541666666667
"9385" "EFK88498.1" "LN623683.2" 100 384 370 0 684 96.3541666666667
"9386" "EFK88498.1" "KY120366.1" 100 384 370 0 684 96.3541666666667
"9387" "EFK88498.1" "KX856068.1" 100 384 370 0 684 96.3541666666667
"9388" "EFK88498.1" "KX856067.1" 100 384 370 0 684 96.3541666666667
"9389" "EFK88498.1" "KX772778.1" 100 384 370 0 684 96.3541666666667
"9390" "EFK88498.1" "KX034083.1" 100 384 370 0 684 96.3541666666667
"9391" "EFK88498.1" "KX032519.1" 100 384 370 0 684 96.3541666666667
"9392" "EFK88498.1" "KX013538.1" 100 384 370 0 684 96.3541666666667
"9393" "EFK88498.1" "KU934208.1" 100 384 370 0 684 96.3541666666667
"9394" "EFK88498.1" "KU922754.1" 100 384 370 0 684 96.3541666666667
"9395" "EFK88498.1" "KU870627.1" 100 384 370 0 684 96.3541666666667
"9396" "EFK88498.1" "KP347127.1" 100 384 370 0 684 96.3541666666667
"9397" "EFK88498.1" "KP198615.1" 100 384 370 0 684 96.3541666666667
"9398" "EFK88498.1" "KP091735.1" 100 384 370 0 684 96.3541666666667
"9399" "EFK88498.1" "KM207012.2" 100 384 370 0 684 96.3541666666667
"9400" "EFK88498.1" "KJ460501.1" 100 384 370 0 684 96.3541666666667
"9401" "EFK88498.1" "KJ020576.1" 100 384 370 0 684 96.3541666666667
"9402" "EFK88498.1" "KF601686.2" 100 384 370 0 684 96.3541666666667
"9403" "EFK88498.1" "KC845573.1" 100 384 370 0 684 96.3541666666667
"9404" "EFK88498.1" "JXMX01000008.1" 100 384 370 0 684 96.3541666666667
"9405" "EFK88498.1" "JN983044.1" 100 384 370 0 684 96.3541666666667
"9406" "EFK88498.1" "JN797501.1" 100 384 370 0 684 96.3541666666667
"9407" "EFK88498.1" "JMSX01000003.1" 100 384 370 0 684 96.3541666666667
"9408" "EFK88498.1" "FR851304.1" 100 384 370 0 684 96.3541666666667
"9409" "EFK88498.1" "CP018124.1" 100 384 370 0 684 96.3541666666667
"9410" "EFK88498.1" "CP018118.1" 100 384 370 0 684 96.3541666666667
"9411" "EFK88498.1" "CP018112.1" 100 384 370 0 684 96.3541666666667
"9412" "EFK88498.1" "CP018106.1" 100 384 370 0 684 96.3541666666667
"9413" "EFK88498.1" "CP016547.1" 100 384 370 0 684 96.3541666666667
"9414" "EFK88498.1" "CP016405.1" 100 384 370 0 684 96.3541666666667
"9415" "EFK88498.1" "CP016388.1" 100 384 370 0 684 96.3541666666667
"9416" "EFK88498.1" "CP011978.1" 100 384 370 0 684 96.3541666666667
"9417" "EFK88498.1" "CP011645.1" 100 384 370 0 684 96.3541666666667
"9418" "EFK88498.1" "CP007134.1" 100 384 370 0 684 96.3541666666667
"9419" "EFK88498.1" "CP006264.1" 100 384 370 0 684 96.3541666666667
"9618" "EZE79041.1" "NZ_CP008807.1" 100 269 269 6.37e-139 497 100
"9619" "EZE79041.1" "NC_011351.1" 100 269 269 6.37e-139 497 100
"9620" "EZE79041.1" "CP008807.1" 100 269 269 6.37e-139 497 100
"9621" "EZE79041.1" "CP001165.1" 100 269 269 6.37e-139 497 100
"9651" "EGB59896.1" "NZ_CP012501.1" 100 231 231 7.14e-118 427 100
"9652" "EGB59896.1" "NZ_CP012500.1" 100 231 231 7.14e-118 427 100
"9653" "EGB59896.1" "NZ_CP012499.1" 100 231 231 7.14e-118 427 100
"9654" "EGB59896.1" "NZ_CP012498.1" 100 231 231 7.14e-118 427 100
"9655" "EGB59896.1" "KT992796.1" 100 231 231 7.14e-118 427 100
"9656" "EGB59896.1" "CP012501.1" 100 231 231 7.14e-118 427 100
"9657" "EGB59896.1" "CP012500.1" 100 231 231 7.14e-118 427 100
"9658" "EGB59896.1" "CP012499.1" 100 231 231 7.14e-118 427 100
"9659" "EGB59896.1" "CP012498.1" 100 231 231 7.14e-118 427 100
"9801" "AJG11434.1" "NZ_CP010345.1" 100 141 141 4.3e-68 261 100
"9802" "AJG11434.1" "CP010345.1" 100 141 141 4.3e-68 261 100
"9835" "BAG80448.1" "NC_011416.1" 100 171 171 1.14e-84 316 100
"9836" "BAG80448.1" "AP009243.1" 100 171 171 1.14e-84 316 100
"9931" "KGM57920.1" "NZ_CP012683.1" 100 273 273 3.87e-141 505 100
"9932" "KGM57920.1" "NZ_CP009275.1" 100 273 273 3.87e-141 505 100
"9933" "KGM57920.1" "CP012683.1" 100 273 273 3.87e-141 505 100
"9934" "KGM57920.1" "CP009275.1" 100 273 273 3.87e-141 505 100
"9945" "KFV27077.1" "NZ_CP014974.1" 100 195 195 6.04e-98 361 100
"9946" "KFV27077.1" "NZ_CP010155.1" 100 195 195 6.04e-98 361 100
"9947" "KFV27077.1" "NZ_CP006642.1" 100 195 195 6.04e-98 361 100
"9948" "KFV27077.1" "NC_024961.1" 100 195 195 6.04e-98 361 100
"9949" "KFV27077.1" "NC_024960.1" 100 195 195 6.04e-98 361 100
"9950" "KFV27077.1" "NC_019256.1" 100 195 195 6.04e-98 361 100
"9951" "KFV27077.1" "NC_019254.1" 100 195 195 6.04e-98 361 100
"9952" "KFV27077.1" "NC_019046.1" 100 195 195 6.04e-98 361 100
"9953" "KFV27077.1" "NC_010860.1" 100 195 195 6.04e-98 361 100
"9954" "KFV27077.1" "KU254580.1" 100 195 195 6.04e-98 361 100
"9955" "KFV27077.1" "JN935897.1" 100 195 195 6.04e-98 361 100
"9956" "KFV27077.1" "HG963477.1" 100 195 195 6.04e-98 361 100
"9957" "KFV27077.1" "HG963476.1" 100 195 195 6.04e-98 361 100
"9958" "KFV27077.1" "HE578058.1" 100 195 195 6.04e-98 361 100
"9959" "KFV27077.1" "HE578057.1" 100 195 195 6.04e-98 361 100
"9960" "KFV27077.1" "EU219533.1" 100 195 195 6.04e-98 361 100
"9961" "KFV27077.1" "CP014974.1" 100 195 195 6.04e-98 361 100
"9962" "KFV27077.1" "CP010155.1" 100 195 195 6.04e-98 361 100
"9963" "KFV27077.1" "CP006642.1" 100 195 195 6.04e-98 361 100
"10016" "AEJ60243.1" "NZ_AGTD01000005.1" 100 273 273 3.87e-141 505 100
"10017" "AEJ60243.1" "AGTD01000005.1" 100 273 273 3.87e-141 505 100
"10331" "KGM78885.1" "NC_011754.1" 100 315 315 2.04e-164 582 100
"10332" "KGM78885.1" "CU928147.1" 100 315 315 2.04e-164 582 100
"11971" "AKN19544.1" "NC_024997.1" 100 636 636 0 1175 100
"11972" "AKN19544.1" "KX230795.1" 100 636 636 0 1175 100
"11973" "AKN19544.1" "KU315015.1" 100 636 636 0 1175 100
"11974" "AKN19544.1" "KP294351.1" 100 636 636 0 1175 100
"11975" "AKN19544.1" "KP294350.1" 100 636 636 0 1175 100
"11976" "AKN19544.1" "KM406490.1" 100 636 636 0 1175 100
"11977" "AKN19544.1" "KJ541681.1" 100 636 636 0 1175 100
"12108" "AAA92255.1" "AH003427.2" 100 312 312 9.37e-163 577 100
"12639" "EFK88155.1" "NZ_LYNF01000004.1" 100 114 114 3.35e-53 211 100
"12640" "EFK88155.1" "NZ_CP009167.1" 100 114 114 3.35e-53 211 100
"12641" "EFK88155.1" "NZ_AHZD02000022.1" 100 114 114 3.35e-53 211 100
"12642" "EFK88155.1" "NC_011603.1" 100 114 114 3.35e-53 211 100
"12643" "EFK88155.1" "NC_010862.1" 100 114 114 3.35e-53 211 100
"12644" "EFK88155.1" "NC_002142.1" 100 114 114 3.35e-53 211 100
"12645" "EFK88155.1" "LYNF01000004.1" 100 114 114 3.35e-53 211 100
"12646" "EFK88155.1" "FM180569.1" 100 114 114 3.35e-53 211 100
"12647" "EFK88155.1" "DQ388534.1" 100 114 114 3.35e-53 211 100
"12648" "EFK88155.1" "CP009167.1" 100 114 114 3.35e-53 211 100
"12649" "EFK88155.1" "AHZD02000022.1" 100 114 114 3.35e-53 211 100
"12650" "EFK88155.1" "AB024946.1" 100 114 114 3.35e-53 211 100
"12697" "EFZ47373.1" "X55893.1" 100 114 114 3.35e-53 211 100
"12698" "EFZ47373.1" "NZ_CP014199.1" 100 114 114 3.35e-53 211 100
"12699" "EFZ47373.1" "NZ_CP013834.1" 100 114 114 3.35e-53 211 100
"12700" "EFZ47373.1" "NC_019037.1" 100 114 114 3.35e-53 211 100
"12701" "EFZ47373.1" "NC_013362.1" 100 114 114 3.35e-53 211 100
"12702" "EFZ47373.1" "LT174531.1" 100 114 114 3.35e-53 211 100
"12703" "EFZ47373.1" "LN624486.1" 100 114 114 3.35e-53 211 100
"12704" "EFZ47373.1" "JNOJ01000089.1" 100 114 114 3.35e-53 211 100
"12705" "EFZ47373.1" "HQ706665.1" 100 114 114 3.35e-53 211 100
"12706" "EFZ47373.1" "GU462158.1" 100 114 114 3.35e-53 211 100
"12707" "EFZ47373.1" "FR851303.1" 100 114 114 3.35e-53 211 100
"12708" "EFZ47373.1" "CP014199.1" 100 114 114 3.35e-53 211 100
"12709" "EFZ47373.1" "CP013834.1" 100 114 114 3.35e-53 211 100
"12710" "EFZ47373.1" "AP014804.1" 100 114 114 3.35e-53 211 100
"12711" "EFZ47373.1" "AP010955.1" 100 114 114 3.35e-53 211 100
"12719" "EFZ47373.1" "AELA02000028.1" 100 114 111 1.56e-51 206 97.3684210526316
"12785" "EFZ60926.1" "NZ_CP014077.1" 100 189 189 1.26e-94 350 100
"12786" "EFZ60926.1" "NZ_CP011417.1" 100 189 189 1.26e-94 350 100
"12787" "EFZ60926.1" "NZ_AWFJ01000153.1" 100 189 189 1.26e-94 350 100
"12788" "EFZ60926.1" "NC_025177.1" 100 189 189 1.26e-94 350 100
"12789" "EFZ60926.1" "NC_019000.1" 100 189 189 1.26e-94 350 100
"12790" "EFZ60926.1" "NC_013366.1" 100 189 189 1.26e-94 350 100
"12791" "EFZ60926.1" "NC_011752.1" 100 189 189 1.26e-94 350 100
"12792" "EFZ60926.1" "NC_010719.1" 100 189 189 1.26e-94 350 100
"12793" "EFZ60926.1" "NC_006671.1" 100 189 189 1.26e-94 350 100
"12794" "EFZ60926.1" "KJ484631.1" 100 189 189 1.26e-94 350 100
"12795" "EFZ60926.1" "HE603111.1" 100 189 189 1.26e-94 350 100
"12796" "EFZ60926.1" "CU928159.2" 100 189 189 1.26e-94 350 100
"12797" "EFZ60926.1" "CP014077.1" 100 189 189 1.26e-94 350 100
"12798" "EFZ60926.1" "CP013186.1" 100 189 189 1.26e-94 350 100
"12799" "EFZ60926.1" "CP011417.1" 100 189 189 1.26e-94 350 100
"12800" "EFZ60926.1" "CP001064.1" 100 189 189 1.26e-94 350 100
"12801" "EFZ60926.1" "AY214164.3" 100 189 189 1.26e-94 350 100
"12802" "EFZ60926.1" "AWFJ01000153.1" 100 189 189 1.26e-94 350 100
"12803" "EFZ60926.1" "AP010963.1" 100 189 189 1.26e-94 350 100
"14512" "EHU61731.1" "NZ_DS999999.1" 100 234 234 1.56e-119 433 100
"14513" "EHU61731.1" "NZ_CP018253.1" 100 234 234 1.56e-119 433 100
"14514" "EHU61731.1" "NZ_CP018251.1" 100 234 234 1.56e-119 433 100
"14515" "EHU61731.1" "NZ_CP018248.1" 100 234 234 1.56e-119 433 100
"14516" "EHU61731.1" "NZ_CP018246.1" 100 234 234 1.56e-119 433 100
"14517" "EHU61731.1" "NZ_CP018244.1" 100 234 234 1.56e-119 433 100
"14518" "EHU61731.1" "NZ_CP018242.1" 100 234 234 1.56e-119 433 100
"14519" "EHU61731.1" "NZ_CP018240.1" 100 234 234 1.56e-119 433 100
"14520" "EHU61731.1" "NZ_CP018238.1" 100 234 234 1.56e-119 433 100
"14521" "EHU61731.1" "NZ_CP017670.1" 100 234 234 1.56e-119 433 100
"14522" "EHU61731.1" "NZ_CP017447.1" 100 234 234 1.56e-119 433 100
"14523" "EHU61731.1" "NZ_CP017445.1" 100 234 234 1.56e-119 433 100
"14524" "EHU61731.1" "NZ_CP017443.1" 100 234 234 1.56e-119 433 100
"14525" "EHU61731.1" "NZ_CP017441.1" 100 234 234 1.56e-119 433 100
"14526" "EHU61731.1" "NZ_CP017439.1" 100 234 234 1.56e-119 433 100
"14527" "EHU61731.1" "NZ_CP017437.1" 100 234 234 1.56e-119 433 100
"14528" "EHU61731.1" "NZ_CP017435.1" 100 234 234 1.56e-119 433 100
"14529" "EHU61731.1" "NZ_CP017252.1" 100 234 234 1.56e-119 433 100
"14530" "EHU61731.1" "NZ_CP017250.1" 100 234 234 1.56e-119 433 100
"14531" "EHU61731.1" "NZ_CP016626.1" 100 234 234 1.56e-119 433 100
"14532" "EHU61731.1" "NZ_CP015856.1" 100 234 234 1.56e-119 433 100
"14533" "EHU61731.1" "NZ_CP015856.1" 100 234 234 1.56e-119 433 100
"14534" "EHU61731.1" "NZ_CP015847.1" 100 234 234 1.56e-119 433 100
"14535" "EHU61731.1" "NZ_CP015844.1" 100 234 234 1.56e-119 433 100
"14536" "EHU61731.1" "NZ_CP015816.1" 100 234 234 1.56e-119 433 100
"14537" "EHU61731.1" "NZ_CP015022.1" 100 234 234 1.56e-119 433 100
"14538" "EHU61731.1" "NZ_CP015021.1" 100 234 234 1.56e-119 433 100
"14539" "EHU61731.1" "NZ_CP012803.1" 100 234 234 1.56e-119 433 100
"14540" "EHU61731.1" "NZ_CP010305.1" 100 234 234 1.56e-119 433 100
"14541" "EHU61731.1" "NZ_CP008958.1" 100 234 234 1.56e-119 433 100
"14542" "EHU61731.1" "NZ_CP008806.1" 100 234 234 1.56e-119 433 100
"14543" "EHU61731.1" "NZ_CM007618.1" 100 234 234 1.56e-119 433 100
"14544" "EHU61731.1" "NZ_AVCD01000003.1" 100 234 234 1.56e-119 433 100
"14545" "EHU61731.1" "NZ_AETX01000217.1" 100 234 234 1.56e-119 433 100
"14546" "EHU61731.1" "NZ_ABHM02000004.1" 100 234 234 1.56e-119 433 100
"14547" "EHU61731.1" "NZ_ABHL02000008.1" 100 234 234 1.56e-119 433 100
"14548" "EHU61731.1" "NZ_ABHK02000007.1" 100 234 234 1.56e-119 433 100
"14549" "EHU61731.1" "NC_019041.1" 100 234 234 1.56e-119 433 100
"14550" "EHU61731.1" "NC_017907.1" 100 234 234 1.56e-119 433 100
"14551" "EHU61731.1" "NC_013010.1" 100 234 234 1.56e-119 433 100
"14552" "EHU61731.1" "NC_011350.1" 100 234 234 1.56e-119 433 100
"14553" "EHU61731.1" "NC_007414.1" 100 234 234 1.56e-119 433 100
"14554" "EHU61731.1" "NC_002128.1" 100 234 234 1.56e-119 433 100
"14555" "EHU61731.1" "MKIV01000006.1" 100 234 234 1.56e-119 433 100
"14556" "EHU61731.1" "GU363949.1" 100 234 234 1.56e-119 433 100
"14557" "EHU61731.1" "FU762181.1" 100 234 234 1.56e-119 433 100
"14558" "EHU61731.1" "FU762180.1" 100 234 234 1.56e-119 433 100
"14559" "EHU61731.1" "FU762155.1" 100 234 234 1.56e-119 433 100
"14560" "EHU61731.1" "FU762154.1" 100 234 234 1.56e-119 433 100
"14561" "EHU61731.1" "DS999999.1" 100 234 234 1.56e-119 433 100
"14562" "EHU61731.1" "CP018253.1" 100 234 234 1.56e-119 433 100
"14563" "EHU61731.1" "CP018251.1" 100 234 234 1.56e-119 433 100
"14564" "EHU61731.1" "CP018248.1" 100 234 234 1.56e-119 433 100
"14565" "EHU61731.1" "CP018246.1" 100 234 234 1.56e-119 433 100
"14566" "EHU61731.1" "CP018244.1" 100 234 234 1.56e-119 433 100
"14567" "EHU61731.1" "CP018242.1" 100 234 234 1.56e-119 433 100
"14568" "EHU61731.1" "CP018240.1" 100 234 234 1.56e-119 433 100
"14569" "EHU61731.1" "CP018238.1" 100 234 234 1.56e-119 433 100
"14570" "EHU61731.1" "CP017670.1" 100 234 234 1.56e-119 433 100
"14571" "EHU61731.1" "CP017447.1" 100 234 234 1.56e-119 433 100
"14572" "EHU61731.1" "CP017445.1" 100 234 234 1.56e-119 433 100
"14573" "EHU61731.1" "CP017443.1" 100 234 234 1.56e-119 433 100
"14574" "EHU61731.1" "CP017441.1" 100 234 234 1.56e-119 433 100
"14575" "EHU61731.1" "CP017439.1" 100 234 234 1.56e-119 433 100
"14576" "EHU61731.1" "CP017437.1" 100 234 234 1.56e-119 433 100
"14577" "EHU61731.1" "CP017435.1" 100 234 234 1.56e-119 433 100
"14578" "EHU61731.1" "CP017252.1" 100 234 234 1.56e-119 433 100
"14579" "EHU61731.1" "CP017250.1" 100 234 234 1.56e-119 433 100
"14580" "EHU61731.1" "CP016626.1" 100 234 234 1.56e-119 433 100
"14581" "EHU61731.1" "CP015856.1" 100 234 234 1.56e-119 433 100
"14582" "EHU61731.1" "CP015856.1" 100 234 234 1.56e-119 433 100
"14583" "EHU61731.1" "CP015847.1" 100 234 234 1.56e-119 433 100
"14584" "EHU61731.1" "CP015844.1" 100 234 234 1.56e-119 433 100
"14585" "EHU61731.1" "CP015816.1" 100 234 234 1.56e-119 433 100
"14586" "EHU61731.1" "CP015022.1" 100 234 234 1.56e-119 433 100
"14587" "EHU61731.1" "CP015021.1" 100 234 234 1.56e-119 433 100
"14588" "EHU61731.1" "CP012803.1" 100 234 234 1.56e-119 433 100
"14589" "EHU61731.1" "CP010305.1" 100 234 234 1.56e-119 433 100
"14590" "EHU61731.1" "CP008958.1" 100 234 234 1.56e-119 433 100
"14591" "EHU61731.1" "CP008806.1" 100 234 234 1.56e-119 433 100
"14592" "EHU61731.1" "CP001926.1" 100 234 234 1.56e-119 433 100
"14593" "EHU61731.1" "CP001369.1" 100 234 234 1.56e-119 433 100
"14594" "EHU61731.1" "CP001163.1" 100 234 234 1.56e-119 433 100
"14595" "EHU61731.1" "CM007618.1" 100 234 234 1.56e-119 433 100
"14596" "EHU61731.1" "AVCD01000003.1" 100 234 234 1.56e-119 433 100
"14597" "EHU61731.1" "AF074613.1" 100 234 234 1.56e-119 433 100
"14598" "EHU61731.1" "AETX01000217.1" 100 234 234 1.56e-119 433 100
"14599" "EHU61731.1" "ABKY02000010.1" 100 234 234 1.56e-119 433 100
"14600" "EHU61731.1" "ABHM02000004.1" 100 234 234 1.56e-119 433 100
"14601" "EHU61731.1" "ABHL02000008.1" 100 234 234 1.56e-119 433 100
"14602" "EHU61731.1" "ABHK02000007.1" 100 234 234 1.56e-119 433 100
"14603" "EHU61731.1" "AB011549.2" 100 234 234 1.56e-119 433 100
"14870" "EHV22641.1" "NZ_CP015242.1" 100 150 150 4.61e-73 278 100
"14871" "EHV22641.1" "NZ_CP007135.1" 100 150 150 4.61e-73 278 100
"14872" "EHV22641.1" "NZ_CP006263.1" 100 150 150 4.61e-73 278 100
"14873" "EHV22641.1" "NZ_CM004381.1" 100 150 150 4.61e-73 278 100
"14874" "EHV22641.1" "NC_017657.1" 100 150 150 4.61e-73 278 100
"14875" "EHV22641.1" "NC_013942.1" 100 150 150 4.61e-73 278 100
"14876" "EHV22641.1" "LXPH01000003.1" 100 150 150 4.61e-73 278 100
"14877" "EHV22641.1" "CP015242.1" 100 150 150 4.61e-73 278 100
"14878" "EHV22641.1" "CP007135.1" 100 150 150 4.61e-73 278 100
"14879" "EHV22641.1" "CP006263.1" 100 150 150 4.61e-73 278 100
"14880" "EHV22641.1" "CP003111.1" 100 150 150 4.61e-73 278 100
"14881" "EHV22641.1" "CP001847.1" 100 150 150 4.61e-73 278 100
"14882" "EHV22641.1" "CM004381.1" 100 150 150 4.61e-73 278 100
"15232" "EHY06064.1" "X55895.1" 100 156 156 2.23e-76 289 100
"15233" "EHY06064.1" "NZ_CP017848.1" 100 156 156 2.23e-76 289 100
"15234" "EHY06064.1" "NZ_CP013192.1" 100 156 156 2.23e-76 289 100
"15235" "EHY06064.1" "NZ_CP010223.1" 100 156 156 2.23e-76 289 100
"15236" "EHY06064.1" "NZ_CP010215.1" 100 156 156 2.23e-76 289 100
"15237" "EHY06064.1" "NZ_CP010209.1" 100 156 156 2.23e-76 289 100
"15238" "EHY06064.1" "NZ_CP010139.1" 100 156 156 2.23e-76 289 100
"15239" "EHY06064.1" "NZ_AGTD01000003.1" 100 156 156 2.23e-76 289 100
"15240" "EHY06064.1" "NC_025106.1" 100 156 156 2.23e-76 289 100
"15241" "EHY06064.1" "NC_019089.1" 100 156 156 2.23e-76 289 100
"15242" "EHY06064.1" "NC_014232.1" 100 156 156 2.23e-76 289 100
"15243" "EHY06064.1" "NC_009786.1" 100 156 156 2.23e-76 289 100
"15244" "EHY06064.1" "LZCC01000559.1" 100 156 156 2.23e-76 289 100
"15245" "EHY06064.1" "LC056325.1" 100 156 156 2.23e-76 289 100
"15246" "EHY06064.1" "KU932028.1" 100 156 156 2.23e-76 289 100
"15247" "EHY06064.1" "KT002541.1" 100 156 156 2.23e-76 289 100
"15248" "EHY06064.1" "KR653209.1" 100 156 156 2.23e-76 289 100
"15249" "EHY06064.1" "JQ364967.1" 100 156 156 2.23e-76 289 100
"15250" "EHY06064.1" "HQ706667.1" 100 156 156 2.23e-76 289 100
"15251" "EHY06064.1" "HG003695.1" 100 156 156 2.23e-76 289 100
"15252" "EHY06064.1" "FN822745.1" 100 156 156 2.23e-76 289 100
"15253" "EHY06064.1" "CP017848.1" 100 156 156 2.23e-76 289 100
"15254" "EHY06064.1" "CP013192.1" 100 156 156 2.23e-76 289 100
"15255" "EHY06064.1" "CP010223.1" 100 156 156 2.23e-76 289 100
"15256" "EHY06064.1" "CP010215.1" 100 156 156 2.23e-76 289 100
"15257" "EHY06064.1" "CP010209.1" 100 156 156 2.23e-76 289 100
"15258" "EHY06064.1" "CP010139.1" 100 156 156 2.23e-76 289 100
"15259" "EHY06064.1" "CP006001.1" 100 156 156 2.23e-76 289 100
"15260" "EHY06064.1" "CP000795.1" 100 156 156 2.23e-76 289 100
"15261" "EHY06064.1" "AY091607.1" 100 156 156 2.23e-76 289 100
"15262" "EHY06064.1" "AGTD01000003.1" 100 156 156 2.23e-76 289 100
"15263" "EHY06064.1" "AELA02000034.1" 100 156 156 2.23e-76 289 100
"15541" "EIL16432.1" "NZ_CP016498.1" 100 278 278 6.56e-144 514 100
"15542" "EIL16432.1" "NZ_CP015160.1" 100 278 278 6.56e-144 514 100
"15543" "EIL16432.1" "NZ_CP011418.1" 100 278 278 6.56e-144 514 100
"15544" "EIL16432.1" "LC056667.1" 100 278 278 6.56e-144 514 100
"15545" "EIL16432.1" "CP016498.1" 100 278 278 6.56e-144 514 100
"15546" "EIL16432.1" "CP015160.1" 100 278 278 6.56e-144 514 100
"15547" "EIL16432.1" "CP011418.1" 100 278 278 6.56e-144 514 100
"15548" "EIL16432.1" "AP014877.1" 100 278 278 6.56e-144 514 100
"15592" "EIN32741.1" "NZ_DS999999.1" 100 156 156 2.23e-76 289 100
"15593" "EIN32741.1" "NZ_CP018253.1" 100 156 156 2.23e-76 289 100
"15594" "EIN32741.1" "NZ_CP018251.1" 100 156 156 2.23e-76 289 100
"15595" "EIN32741.1" "NZ_CP018248.1" 100 156 156 2.23e-76 289 100
"15596" "EIN32741.1" "NZ_CP018246.1" 100 156 156 2.23e-76 289 100
"15597" "EIN32741.1" "NZ_CP018244.1" 100 156 156 2.23e-76 289 100
"15598" "EIN32741.1" "NZ_CP018242.1" 100 156 156 2.23e-76 289 100
"15599" "EIN32741.1" "NZ_CP018240.1" 100 156 156 2.23e-76 289 100
"15600" "EIN32741.1" "NZ_CP018238.1" 100 156 156 2.23e-76 289 100
"15601" "EIN32741.1" "NZ_CP017670.1" 100 156 156 2.23e-76 289 100
"15602" "EIN32741.1" "NZ_CP017447.1" 100 156 156 2.23e-76 289 100
"15603" "EIN32741.1" "NZ_CP017445.1" 100 156 156 2.23e-76 289 100
"15604" "EIN32741.1" "NZ_CP017443.1" 100 156 156 2.23e-76 289 100
"15605" "EIN32741.1" "NZ_CP017441.1" 100 156 156 2.23e-76 289 100
"15606" "EIN32741.1" "NZ_CP017439.1" 100 156 156 2.23e-76 289 100
"15607" "EIN32741.1" "NZ_CP017437.1" 100 156 156 2.23e-76 289 100
"15608" "EIN32741.1" "NZ_CP017435.1" 100 156 156 2.23e-76 289 100
"15609" "EIN32741.1" "NZ_CP017252.1" 100 156 156 2.23e-76 289 100
"15610" "EIN32741.1" "NZ_CP017250.1" 100 156 156 2.23e-76 289 100
"15611" "EIN32741.1" "NZ_CP016626.1" 100 156 156 2.23e-76 289 100
"15612" "EIN32741.1" "NZ_CP015856.1" 100 156 156 2.23e-76 289 100
"15613" "EIN32741.1" "NZ_CP015856.1" 100 156 156 2.23e-76 289 100
"15614" "EIN32741.1" "NZ_CP015847.1" 100 156 156 2.23e-76 289 100
"15615" "EIN32741.1" "NZ_CP015844.1" 100 156 156 2.23e-76 289 100
"15616" "EIN32741.1" "NZ_CP015816.1" 100 156 156 2.23e-76 289 100
"15617" "EIN32741.1" "NZ_CP015022.1" 100 156 156 2.23e-76 289 100
"15618" "EIN32741.1" "NZ_CP015021.1" 100 156 156 2.23e-76 289 100
"15619" "EIN32741.1" "NZ_CP012803.1" 100 156 156 2.23e-76 289 100
"15620" "EIN32741.1" "NZ_CP010305.1" 100 156 156 2.23e-76 289 100
"15621" "EIN32741.1" "NZ_CP008958.1" 100 156 156 2.23e-76 289 100
"15622" "EIN32741.1" "NZ_CP008806.1" 100 156 156 2.23e-76 289 100
"15623" "EIN32741.1" "NZ_CM007618.1" 100 156 156 2.23e-76 289 100
"15624" "EIN32741.1" "NZ_AVCD01000003.1" 100 156 156 2.23e-76 289 100
"15625" "EIN32741.1" "NZ_AETX01000217.1" 100 156 156 2.23e-76 289 100
"15626" "EIN32741.1" "NZ_ABHM02000004.1" 100 156 156 2.23e-76 289 100
"15627" "EIN32741.1" "NZ_ABHL02000008.1" 100 156 156 2.23e-76 289 100
"15628" "EIN32741.1" "NZ_ABHK02000007.1" 100 156 156 2.23e-76 289 100
"15629" "EIN32741.1" "NC_019041.1" 100 156 156 2.23e-76 289 100
"15630" "EIN32741.1" "NC_017907.1" 100 156 156 2.23e-76 289 100
"15631" "EIN32741.1" "NC_013010.1" 100 156 156 2.23e-76 289 100
"15632" "EIN32741.1" "NC_011350.1" 100 156 156 2.23e-76 289 100
